	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
Nucleotide_Diversity_10kb_q3	0.63881713	0.6998673	0.62597126	0.7486588	0.7487611	0.70588756	0.7368357	0.7569906	0.75454414	0.76077706	0.7330621	0.76129097	0.7418536	0.74899	0.7157938	0.7593843	0.7535559	0.793973	0.7333608	0.86572856	0.8119621	0.7734932	0.79681504	0.8036659	0.8495213	0.8360225	0.6764313	0.7158308	0.6897671	0.7705691	0.51210004	0.68541646	0.7076629	0.64577013	0.76587886	0.69877696	0.56933606	0.6906263	0.7150875	0.6974762	0.80631715	0.8110875	0.8480828	0.83150893	0.73756015	0.7187264	0.7762771	0.82301825	0.80031717
Recomb_Rate_10kb_q3	1.1412963	1.1254511	1.1330271	1.1437544	1.1337049	1.1263913	1.1448855	1.1502308	1.1327515	1.1386791	1.1183224	1.1161089	1.1225266	1.1225257	1.1077693	1.1291021	1.1269103	1.1563549	1.1496674	1.1362754	1.14725	1.1455085	1.1518912	1.1542532	1.1461942	1.1462454	1.1399993	1.1479819	1.1510925	1.1427356	1.1014743	1.1499377	1.1533049	1.136028	1.1468879	1.1342415	1.1226958	1.1426989	1.1510204	1.1329712	1.1486866	1.1600085	1.123642	1.1624948	1.141834	1.1553724	1.1624739	1.1587958	1.1534669
BLUEPRINT_DNA_methylation_MaxCPP_q4	0.9999995	0.9999999	1.0	0.99999976	0.99999976	0.9999998	1.0	0.9999999	0.9999998	0.9999998	0.99999976	0.99999994	0.99999976	0.9999997	0.99999964	0.9999999	1.0	0.99999994	1.0	1.0	0.99999964	0.99999994	0.9999999	0.99999976	0.99999976	1.0	0.9999999	0.99999976	0.9999997	0.9999997	0.9999997	0.9999999	0.99999994	0.9999997	1.0	0.9999999	0.9999998	0.99999976	0.9999999	0.9999999	0.9999999	0.99999964	0.9999999	0.9999999	1.0	0.9999999	0.9999999	0.9999998	0.99999976
BLUEPRINT_H3K27acQTL_MaxCPP_q4	0.9999995	0.9999999	1.0	0.99999976	0.99999976	0.9999998	1.0	0.9999999	0.9999998	0.9999998	0.99999976	0.99999994	0.99999976	0.9999997	0.99999964	0.9999999	1.0	0.99999994	1.0	1.0	0.99999964	0.99999994	0.9999999	0.99999976	0.99999976	1.0	0.9999999	0.99999976	0.9999997	0.9999997	0.9999997	0.9999999	0.99999994	0.9999997	1.0	0.9999999	0.9999998	0.99999976	0.9999999	0.9999999	0.9999999	0.99999964	0.9999999	0.9999999	1.0	0.9999999	0.9999999	0.9999998	0.99999976
BLUEPRINT_H3K4me1QTL_MaxCPP_q4	0.9999995	0.9999999	1.0	0.99999976	0.99999976	0.9999998	1.0	0.9999999	0.9999998	0.9999998	0.99999976	0.99999994	0.99999976	0.9999997	0.99999964	0.9999999	1.0	0.99999994	1.0	1.0	0.99999964	0.99999994	0.9999999	0.99999976	0.99999976	1.0	0.9999999	0.99999976	0.9999997	0.9999997	0.9999997	0.9999999	0.99999994	0.9999997	1.0	0.9999999	0.9999998	0.99999976	0.9999999	0.9999999	0.9999999	0.99999964	0.9999999	0.9999999	1.0	0.9999999	0.9999999	0.9999998	0.99999976
Backgrd_Selection_Stat_q4	1.9305446	2.151766	2.071172	1.8994851	1.9398257	2.1120734	1.9123499	1.5857408	2.026881	1.9713393	2.15808	2.18026	2.1189294	2.1041844	2.2782328	1.9906006	1.9887193	1.7724743	1.7606177	1.2834179	1.8860592	1.7553135	1.7161955	1.6593654	1.2423825	1.1904737	1.9882841	1.9115057	1.8979396	1.6385875	2.3377068	1.8334563	1.68101	2.017096	1.685377	2.0202081	2.1619313	1.7939216	1.6679047	2.0677881	1.6772627	1.5577157	1.1606406	1.2592051	1.9765949	1.7349528	1.2340258	1.3603175	1.2229768
CpG_Content_50kb_q4	1.8939849	2.2527025	2.0718653	1.945767	2.055924	2.241713	1.9485232	1.5294759	2.1557305	2.0607343	2.3110535	2.3658462	2.2916698	2.240643	2.4487996	2.0921216	2.1255457	1.8056713	1.7657712	1.1638505	1.9724083	1.780344	1.7356659	1.6620195	1.0981467	1.038152	2.0230641	1.9191235	1.8731937	1.6210856	2.3400288	1.7875981	1.6385233	2.0665503	1.6624553	2.1057835	2.203888	1.7960588	1.6192845	2.170012	1.6873991	1.5174471	0.9928776	1.1253333	2.0278752	1.7083013	1.0527952	1.2552675	1.0473998
GERP.NS_q4	3.2114415	2.3597748	3.0583725	2.5330555	2.0437157	2.112105	2.6375403	2.9593563	2.038216	2.2939851	1.8880955	1.7509674	1.8130119	1.9481791	1.9130136	2.0676117	1.8869692	2.632421	2.7577136	2.7200692	2.2706306	2.4397712	2.5304806	2.6200066	3.052342	3.1936479	2.7851548	2.8925173	3.1682642	2.5985	3.1067474	3.2005157	3.1015904	2.783751	2.7133825	2.3830354	2.93762	2.814926	3.0847182	2.368467	2.4835172	2.880073	2.8717277	3.3222146	2.5923238	3.0643198	3.7912402	3.1175916	3.5225286
GTEx_eQTL_MaxCPP_q4	0.9999995	0.9999999	1.0	0.99999976	0.99999976	0.9999998	1.0	0.9999999	0.9999998	0.9999998	0.99999976	0.99999994	0.99999976	0.9999997	0.99999964	0.9999999	1.0	0.99999994	1.0	1.0	0.99999964	0.99999994	0.9999999	0.99999976	0.99999976	1.0	0.9999999	0.99999976	0.9999997	0.9999997	0.9999997	0.9999999	0.99999994	0.9999997	1.0	0.9999999	0.9999998	0.99999976	0.9999999	0.9999999	0.9999999	0.99999964	0.9999999	0.9999999	1.0	0.9999999	0.9999999	0.9999998	0.99999976
Human_Enhancer_Villar_Species_Enhancer_Count_q4	0.9999995	0.9999999	1.0	0.99999976	0.99999976	0.9999998	1.0	0.9999999	0.9999998	0.9999998	0.99999976	0.99999994	0.99999976	0.9999997	0.99999964	0.9999999	1.0	0.99999994	1.0	1.0	0.99999964	0.99999994	0.9999999	0.99999976	0.99999976	1.0	0.9999999	0.99999976	0.9999997	0.9999997	0.9999997	0.9999999	0.99999994	0.9999997	1.0	0.9999999	0.9999998	0.99999976	0.9999999	0.9999999	0.9999999	0.99999964	0.9999999	0.9999999	1.0	0.9999999	0.9999999	0.9999998	0.99999976
MAF_Adj_ASMC_q4	0.41690445	0.5508054	0.43279532	0.5458067	0.55757844	0.5449319	0.5326109	0.47492462	0.59174705	0.5846795	0.60488486	0.65815705	0.60195494	0.6124001	0.61716884	0.5940996	0.5821876	0.57361907	0.48607033	0.5644592	0.638393	0.5408382	0.56400955	0.55606586	0.5199357	0.48249295	0.47287542	0.50178754	0.46156472	0.50745445	0.3821985	0.44407135	0.43419325	0.44432995	0.51201916	0.50970024	0.39898193	0.443522	0.44142208	0.5202338	0.56970406	0.5378137	0.50856435	0.48893383	0.55262804	0.45766205	0.40347272	0.50457966	0.43927664
MAF_Adj_LLD_AFR_q4	0.62097096	0.65200657	0.61616564	0.6667606	0.68533725	0.66476786	0.6591667	0.6844922	0.67974645	0.67465913	0.6804294	0.68698645	0.6847313	0.68486726	0.6699095	0.6891781	0.6942201	0.67344946	0.66586024	0.75206727	0.6860211	0.69000494	0.6902082	0.6908753	0.7424758	0.74085194	0.63581556	0.64701957	0.63356906	0.69669557	0.57850534	0.6380631	0.6529772	0.6264506	0.68599904	0.655391	0.5959841	0.65339506	0.65969807	0.6492836	0.6978906	0.6933286	0.7654417	0.71616995	0.65779114	0.6522424	0.7032254	0.71163666	0.7189639
MAF_Adj_Predicted_Allele_Age_q4	0.4711333	0.43717876	0.42933062	0.5443702	0.54420775	0.4583736	0.5328483	0.6094219	0.5111238	0.5290524	0.45137408	0.441486	0.47010842	0.47705847	0.38404036	0.53302616	0.5316503	0.61015505	0.56542534	0.76477265	0.5831554	0.6025222	0.62984216	0.64418113	0.72119206	0.69097096	0.47934788	0.51508516	0.49959496	0.61790663	0.32561988	0.5141239	0.5586923	0.45692787	0.606036	0.48485303	0.39003477	0.531499	0.5637605	0.46800092	0.65250784	0.66128796	0.73147494	0.697404	0.5120028	0.5518769	0.6269355	0.686557	0.6541917
Nucleotide_Diversity_10kb_q4	0.32273483	0.38237306	0.3092751	0.4369171	0.437494	0.3887451	0.42236775	0.4596599	0.4424012	0.45045495	0.4182906	0.45167407	0.4268966	0.43758336	0.40248507	0.4501789	0.44345528	0.4904623	0.42305574	0.62919486	0.51400554	0.470222	0.49837458	0.50903344	0.60831755	0.6005502	0.35814163	0.3990026	0.3706133	0.47451106	0.21784663	0.369113	0.39696997	0.3295991	0.46428794	0.38201308	0.26268846	0.37861642	0.40725508	0.37941954	0.51294404	0.5231353	0.61770177	0.575281	0.42318428	0.40772122	0.50964725	0.55328083	0.5397301
Recomb_Rate_10kb_q4	1.0085868	1.1406759	1.0358179	1.1112885	1.105378	1.1216891	1.1057612	1.009576	1.1496542	1.1504233	1.1680399	1.223023	1.1697232	1.1697536	1.2104579	1.1356659	1.1262563	1.1357604	1.0457081	0.9852821	1.186418	1.0719181	1.0999081	1.092133	0.9660876	0.93263096	1.0636427	1.0894717	1.0629649	1.0256213	0.9816703	1.0299184	1.0018735	1.0423325	1.0459678	1.0858401	1.0015492	1.0071237	1.0026886	1.1086577	1.0897666	1.0736555	0.8971853	0.98772115	1.1313103	1.0356174	0.93352085	1.0109074	0.9335436
