	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
Recomb_Rate_10kb_q0	0.9346307	0.95073694	0.95289975	0.9123445	0.9457496	0.96214336	0.91153693	0.8904256	0.9381486	0.9174882	0.9627435	0.94912416	0.95600855	0.9506154	0.96676433	0.9422437	0.9539066	0.87309045	0.907957	0.8729645	0.88732857	0.91226614	0.8870136	0.8777688	0.85445553	0.8547306	0.93611526	0.9060356	0.9021	0.9115323	1.036215	0.90716463	0.8989407	0.9518194	0.9021225	0.95029646	0.9931106	0.9317718	0.89974004	0.9480471	0.8905852	0.8569434	0.8891392	0.8288237	0.912963	0.8927697	0.83214855	0.8445958	0.8444505
BLUEPRINT_DNA_methylation_MaxCPP_q1																																																	
BLUEPRINT_H3K27acQTL_MaxCPP_q1																																																	
BLUEPRINT_H3K4me1QTL_MaxCPP_q1																																																	
Backgrd_Selection_Stat_q1	0.6318819	0.5791043	0.59121704	0.6582047	0.6490298	0.5935258	0.65237916	0.7589779	0.62192756	0.6380039	0.58160853	0.5757865	0.5947556	0.5984295	0.544455	0.6336213	0.6355948	0.7013117	0.69943964	0.87947154	0.6680568	0.70675385	0.7208458	0.7399961	0.8920571	0.9117481	0.62263566	0.64889854	0.647317	0.74545634	0.51010346	0.6666658	0.7179543	0.61248505	0.727758	0.61855936	0.5634961	0.6842208	0.72496796	0.6041862	0.7347053	0.77387977	0.92437994	0.87988746	0.63302696	0.703463	0.8769101	0.8428361	0.8885583
CpG_Content_50kb_q1	0.60327405	0.42615575	0.52018154	0.5593962	0.50034404	0.42498493	0.5601941	0.7753368	0.45593283	0.5029195	0.39256072	0.36893958	0.39835662	0.42214438	0.3435774	0.4845439	0.46877185	0.62126523	0.6519167	0.9553484	0.53605115	0.63281053	0.65384835	0.6918046	1.0037483	1.0471026	0.5331804	0.58057684	0.60856456	0.7190005	0.40799814	0.65107316	0.72288764	0.5183804	0.6984434	0.48858732	0.46348646	0.64266235	0.7339095	0.45948964	0.6746758	0.7714415	1.062946	0.99480844	0.5241401	0.6875871	1.0533487	0.9171767	1.0486813
GERP.NS_q1	0.25618804	0.58677876	0.31537157	0.48215532	0.6826881	0.6849315	0.44414458	0.28781265	0.7090069	0.59081143	0.8092349	0.8941437	0.83882457	0.7726547	0.82595533	0.68904024	0.77085394	0.4281868	0.37373078	0.29907748	0.58958334	0.48446888	0.44972956	0.41053855	0.21122861	0.17303784	0.39495432	0.35924217	0.27473247	0.40505594	0.29996723	0.25633696	0.25677514	0.3940153	0.37944618	0.54988587	0.34605497	0.35253742	0.26202884	0.5633492	0.4570641	0.31547877	0.21967332	0.15908729	0.47343665	0.28277287	0.079104744	0.2163032	0.113846794
GTEx_eQTL_MaxCPP_q1																																																	
Human_Enhancer_Villar_Species_Enhancer_Count_q1																																																	
MAF_Adj_ASMC_q1	1.2167193	1.1867851	1.2141161	1.1939908	1.1690599	1.1753798	1.199784	1.212234	1.1655965	1.1792692	1.1551309	1.1380724	1.1524003	1.157195	1.1564984	1.1647136	1.1574396	1.1956273	1.206203	1.1932982	1.1693199	1.189136	1.1909554	1.1954772	1.2119446	1.2191144	1.2066642	1.2124193	1.2234336	1.1970373	1.1961837	1.2216564	1.2171601	1.2044619	1.2021867	1.1895239	1.1990114	1.2055101	1.2163217	1.189076	1.1869824	1.2078921	1.2042636	1.2248424	1.1966107	1.2180256	1.2356635	1.2181603	1.2292293
MAF_Adj_LLD_AFR_q1	0.9231801	1.0294445	0.96441954	0.96887004	0.9518204	0.99615145	0.97126627	0.8603977	0.99790365	0.99464387	1.0312095	1.0577817	1.0109134	1.0233632	1.0743494	0.99063814	0.9678447	0.9612914	0.9021598	0.8483876	1.0049378	0.91951364	0.93057674	0.91779786	0.8201749	0.7839406	0.9572066	0.9637785	0.94526786	0.878391	1.0060707	0.9170426	0.86322975	0.94241923	0.9005613	0.9653742	0.9580332	0.8834897	0.86511785	0.9873891	0.924507	0.8944589	0.7910006	0.8113546	0.99817055	0.89138615	0.751202	0.8380794	0.7746569
MAF_Adj_Predicted_Allele_Age_q1	1.3933706	1.2594144	1.3232934	1.3923012	1.3835878	1.2972008	1.3891482	1.5359533	1.3262634	1.3492535	1.2419667	1.1981525	1.2737802	1.2669479	1.1531091	1.3381261	1.3464032	1.4469562	1.4715433	1.6222578	1.3735976	1.4685332	1.4782792	1.5020646	1.6406467	1.653549	1.3670357	1.3914508	1.4027497	1.513487	1.1732725	1.4335544	1.5090448	1.3565882	1.4951067	1.3506176	1.2807558	1.4620892	1.5083792	1.3228589	1.4918603	1.5412272	1.6607782	1.6442919	1.3482163	1.4797373	1.6511108	1.6113409	1.6514187
Nucleotide_Diversity_10kb_q1	1.2795547	1.2530677	1.2799134	1.2394335	1.2354956	1.2501342	1.2450427	1.2384799	1.2338318	1.2326441	1.2404972	1.2295264	1.237581	1.2343373	1.2436239	1.2310408	1.2319025	1.2225776	1.2479734	1.1755457	1.2105501	1.2287658	1.2194602	1.2169604	1.1879061	1.1935856	1.2657123	1.254165	1.2658254	1.2294734	1.290766	1.2673552	1.2609047	1.2730045	1.2336088	1.2548842	1.286307	1.2621602	1.2568656	1.2553548	1.2138965	1.2146577	1.1843728	1.2029299	1.243228	1.2557675	1.2318369	1.2080758	1.2187669
