	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
Transcr_Hoffman	1.0638924	1.2073662	1.1057223	1.1478395	1.2095568	1.2276628	1.1376755	1.0122572	1.231645	1.1907506	1.2670376	1.2917655	1.2679985	1.25311	1.2771163	1.2201403	1.2361509	1.1146542	1.0837939	0.94373316	1.1849374	1.1230816	1.1067348	1.0824652	0.89182	0.85643685	1.1276408	1.1064143	1.0725474	1.06696	1.1084391	1.0525444	1.0240319	1.1229893	1.0718213	1.1795636	1.1141483	1.0775725	1.0202675	1.1915746	1.1034703	1.0233383	0.8712467	0.8793825	1.1562389	1.0447495	0.82624424	0.9306157	0.84035516
Transcr_Hoffman.flanking.500	0.64711344	0.5321462	0.5899852	0.6175043	0.59697324	0.54465634	0.6154846	0.77104366	0.5610289	0.58265984	0.5238112	0.50640094	0.53406966	0.53903234	0.48799804	0.5779861	0.5805795	0.65429974	0.68477947	0.90328884	0.59807813	0.6728042	0.6825592	0.7088192	0.9407399	0.9807131	0.60219526	0.6248536	0.6416105	0.7351653	0.5272899	0.67518413	0.7333935	0.5991776	0.71480876	0.5814889	0.56808007	0.68353903	0.7414699	0.5606336	0.69755214	0.7626122	0.98872423	0.931587	0.5885997	0.70592636	0.98025215	0.87108564	0.9753709
UTR_3_UCSC	6.3205137	6.5937114	6.973455	5.457877	5.3132896	6.2360926	5.636614	4.387328	5.6667724	5.5880427	6.0182514	5.8993053	5.893324	5.797178	6.5864863	5.390042	5.3206654	4.916487	5.1151924	2.7571015	5.050022	4.753341	4.606344	4.3984404	2.8550937	2.789362	6.280586	5.9250755	6.186574	4.3361425	8.085576	5.813762	5.043634	6.459089	4.5987115	6.05274	7.210485	5.3332515	4.9120255	6.2957077	4.3446097	4.128643	2.440559	3.1375513	5.887976	5.2633233	3.3165514	3.4555733	3.0873532
UTR_3_UCSC.flanking.500	2.301192	3.1910555	2.742475	2.4171138	2.3790505	2.9220004	2.446444	1.5505141	2.7520285	2.6659632	3.207336	3.4395907	3.02862	3.0732968	3.7531998	2.6653817	2.5715182	2.146646	1.9300133	1.0260667	2.5293803	1.931086	1.9222302	1.7894664	0.96701425	0.88029724	2.5287306	2.4446223	2.353582	1.6413729	3.4735951	2.1314902	1.658507	2.553557	1.7892561	2.6079698	2.8946493	1.9125923	1.6784569	2.7943401	1.8129699	1.5916332	0.7872021	0.9860503	2.701878	1.88353	0.876564	1.1566681	0.8849036
UTR_5_UCSC	7.2191906	10.348775	8.957646	7.2792664	6.845724	9.06971	7.467993	4.3669453	8.232659	8.1014385	9.8511305	10.601465	9.130638	9.34714	12.214003	7.8245473	7.3776603	6.279114	5.6619263	2.3973303	7.435179	5.43552	5.4210587	4.976139	2.3830767	2.1917067	7.9497075	7.6494117	7.4716	4.5043564	11.699712	6.566915	4.8301573	8.079892	5.0482674	8.037847	9.421238	5.6387987	4.869729	8.748108	4.9465303	4.418111	1.790446	2.5377755	8.460029	5.635682	2.2978418	3.0324416	2.2512188
UTR_5_UCSC.flanking.500	3.5849698	4.3095083	4.0844445	3.442302	3.3405755	3.9996848	3.5075774	2.4947934	3.7123609	3.662361	4.1419845	4.270349	3.9685578	3.9920213	4.6995897	3.5902941	3.4763396	3.110329	2.9775326	1.6406206	3.42791	2.8680937	2.8412838	2.6912029	1.6170288	1.5201567	3.7518253	3.5689003	3.558652	2.539947	4.963628	3.301273	2.7724276	3.840883	2.7353506	3.7419586	4.326067	3.0451586	2.7403133	3.9433038	2.6903982	2.470936	1.3456879	1.7100989	3.7576587	2.983294	1.6553833	1.9391962	1.6024961
WeakEnhancer_Hoffman	3.8545966	3.7074926	3.9209769	3.5074818	3.4386714	3.610934	3.5663216	3.0770917	3.5001483	3.4838815	3.5571783	3.4653401	3.5041118	3.4826226	3.5547585	3.442796	3.4130864	3.371992	3.3832085	2.2440276	3.3338263	3.2282078	3.1970077	3.1290574	2.2170365	2.1331463	3.7688186	3.6250677	3.7136674	3.0585713	4.2414527	3.6566277	3.405126	3.8220856	3.1851432	3.6440182	4.10508	3.500239	3.3345144	3.7133913	3.1289694	2.9865246	1.9480958	2.4292936	3.598105	3.4418209	2.509204	2.6014063	2.351599
WeakEnhancer_Hoffman.flanking.500	2.719708	2.6110425	2.7459712	2.5048485	2.6235564	2.688157	2.5216365	2.3710454	2.56499	2.4951355	2.5911367	2.4984267	2.6293821	2.5348663	2.5604053	2.517639	2.6136937	2.3860223	2.5407174	1.8500609	2.3409848	2.4414942	2.3680897	2.3280299	1.8482146	1.8337275	2.690682	2.5392153	2.582612	2.3807929	2.931188	2.5893433	2.563463	2.8002293	2.391774	2.6924632	2.9514813	2.657458	2.5179796	2.6925218	2.3267927	2.2420511	1.7293518	1.9786745	2.502503	2.5380049	2.0678358	2.0704174	1.9628947
non_synonymous	17.444565	21.874596	21.538576	15.538965	13.106602	18.27378	16.37889	10.052897	15.763106	16.34216	18.267982	18.608126	16.62845	17.525654	23.431099	14.961033	13.579398	13.370603	12.657822	5.3047094	14.392939	11.375536	11.418093	10.632054	5.7295685	5.3158946	18.051838	17.892633	18.394844	9.6940775	27.972258	16.070345	11.252466	18.268045	11.179565	16.93264	21.611698	12.547333	11.3974905	18.42124	10.249834	10.045197	4.0851665	6.346814	18.465986	13.324358	6.0062613	7.3307457	5.762866
synonymous	3.489593	5.3265853	3.9817932	4.6088	4.0129766	4.587647	4.682163	2.854244	4.9058213	5.0785074	5.172069	5.754996	4.823107	5.2238107	5.74039	4.776821	4.1427817	4.7409563	3.5096564	2.1687899	5.6084757	3.795291	4.094334	3.8559356	1.9795487	1.5936259	4.1378617	4.571676	4.191649	3.0495272	3.4908497	3.643885	2.8779411	3.6871262	3.465768	4.193674	3.3627415	3.051915	2.894866	4.5408826	3.8741307	3.5060482	1.3851244	2.0457118	5.2017493	3.364984	1.4064533	2.4677863	1.5505368
